timestamp,value,cmdb_id,kpi_name
1703550000,200.0,svcB,latency
1703550300,198.5,svcB,latency
1703550600,205.0,svcB,latency
1703550900,199.0,svcB,latency
1703551200,202.0,svcB,latency
1703551500,400.0,svcB,latency
1703551800,201.5,svcB,latency
1703552100,199.5,svcB,latency
1703552400,203.2,svcB,latency
1703552700,198.8,svcB,latency
1703553000,197.9,svcB,latency
1703553300,450.0,svcB,latency
1703553600,200.1,svcB,latency
1703553900,199.7,svcB,latency
1703554200,202.3,svcB,latency
1703554500,197.5,svcB,latency
1703554800,196.9,svcB,latency
1703555100,201.8,svcB,latency
1703555400,198.4,svcB,latency
1703555700,199.0,svcB,latency
